Название,Тип,Студия,Первоисточник,Рейтинг MPAA
Адский рай,ТВ Сериал,MAPPA,Манга,NC-17
Звёздное дитя,ТВ Сериал,Dogakobo,Манга,PG-13
Доктор Стоун: Новый мир,ТВ Сериал,TMS Entertainment,Манга,PG-13
"Клинок, рассекающий демонов: Деревня кузнецов",ТВ Сериал,ufotable,Манга,NC-17
Атака титанов: Финал — Заключительная глава,Спешл,MAPPA,Манга,NC-17
Великий из бродячих псов 4,ТВ Сериал,Bones,Манга,NC-17
Великая небесная стена,ТВ Сериал,Production I.G,Манга,NC-17
Папаши-дружбаны,ТВ Сериал,P.A. Works,Оригинал,PG-13
Невеста чародея 2,ТВ Сериал,Неизвестно,Манга,PG-13
Путь домохозяина 2,ONA,J.C. Staff,Манга,PG-13
Магия и мускулы,ТВ Сериал,A-1 Pictures Inc.,Манга,PG-13
Повесть о конце света 2,ONA,"Graphinica,                                     Yumeta Company",Манга,NC-17
Бессонница после школы,ТВ Сериал,LIDEN FILMS,Манга,PG-13
